index,store_ID,day_of_week,date,nb_customers_on_day,open,promotion,state_holiday,school_holiday,sales predictions
599169,581,4,2014-07-04,651,1,1,0,0,6012.84
55294,185,5,2013-01-05,550,1,0,0,0,6390.71
218737,244,5,2014-11-22,538,1,0,0,0,5310.64
266706,1082,5,2013-01-05,877,1,0,0,0,6052.83
441953,216,4,2015-03-20,837,1,1,0,0,8275.97
127184,350,3,2015-03-05,508,1,1,0,0,6703.11
312223,748,0,2014-03-31,822,1,1,0,0,10538.82
583377,718,0,2014-12-08,962,1,0,0,0,8072.14
523743,739,4,2014-02-21,789,1,1,0,0,9819.63
476775,614,6,2014-12-21,0,0,0,0,0,0.0
620142,673,1,2014-02-18,615,1,1,0,0,7890.85
460092,83,0,2013-06-10,367,1,0,0,0,3428.08
169260,976,2,2013-09-18,598,1,0,0,0,5325.22
177084,637,5,2013-04-06,518,1,0,0,0,6073.27
645354,122,1,2014-01-07,714,1,1,0,0,6365.5
645737,898,0,2014-11-24,1013,1,1,0,0,10981.35
272578,1080,3,2014-06-26,710,1,0,0,0,7752.41
600374,291,0,2015-03-30,1290,1,1,0,0,13169.0
566038,24,3,2013-01-03,711,1,0,0,1,6873.91
381862,1096,6,2013-08-18,0,0,0,0,0,0.0
535335,637,4,2014-05-30,860,1,0,0,0,9000.37
499411,1002,1,2015-06-02,850,1,1,0,0,8391.35
625219,666,0,2014-03-10,497,1,0,0,0,4789.64
61823,1089,6,2013-11-24,0,0,0,0,0,0.0
653471,334,5,2013-08-31,515,1,0,0,0,4928.786666666666
441789,300,5,2014-08-30,951,1,0,0,1,7533.48
155435,207,0,2014-09-22,1166,1,0,0,0,8946.33
226567,683,2,2015-05-27,854,1,0,0,0,8213.14
107330,1094,1,2013-05-14,394,1,1,0,0,5018.52
149417,700,3,2015-07-09,576,1,0,0,0,4611.15
191690,959,1,2014-08-26,744,1,0,0,0,6279.72
146544,766,6,2014-06-22,0,0,0,0,0,0.0
383603,1011,5,2013-06-08,977,1,0,0,0,7712.85
452941,570,4,2013-12-13,676,1,0,0,0,6911.41
629103,685,1,2013-09-10,689,1,1,0,0,7868.84
30258,158,2,2014-04-16,681,1,1,0,1,8233.38
219501,66,4,2015-05-29,522,1,0,0,1,5216.96
528607,76,1,2013-07-30,1080,1,1,0,0,10562.84
397525,572,2,2013-10-16,458,1,0,0,0,5035.23
314281,184,5,2014-10-11,510,1,0,0,0,5137.04
489418,1034,4,2013-12-06,775,1,1,0,0,8012.35
182776,559,6,2013-08-11,0,0,0,0,0,0.0
335928,862,1,2014-12-23,1561,1,0,0,1,14725.21
198358,171,1,2014-11-11,962,1,1,0,0,9454.115833333333
400219,33,6,2014-12-07,0,0,0,0,0,0.0
427476,936,3,2014-11-27,963,1,1,0,0,7770.58
31892,948,1,2014-02-18,1682,1,1,0,0,7250.39
109374,371,5,2013-05-04,551,1,0,0,0,6264.53
385320,242,0,2014-05-05,378,1,1,0,0,4808.08
517169,133,4,2014-01-17,622,1,0,0,0,5736.76
369733,1031,0,2014-12-15,681,1,1,0,0,8651.7
71343,850,3,2013-02-07,710,1,1,0,0,6936.47
42363,860,4,2015-06-05,833,1,1,0,0,7802.87
612665,836,5,2013-07-06,301,1,0,0,0,2646.43
428563,965,5,2013-11-30,908,1,0,0,0,7916.66
610249,1096,0,2015-01-26,763,1,1,0,0,7755.57
669222,504,2,2014-09-03,836,1,1,0,1,7260.01
484348,230,0,2013-12-30,1327,1,0,0,1,13002.48
194089,826,0,2013-12-02,1170,1,1,0,0,12317.47
328888,975,1,2013-07-30,767,1,1,0,1,8258.06
485880,602,1,2014-10-28,547,1,0,0,1,5123.41
699868,953,4,2014-09-19,553,1,1,0,0,5428.28
265929,187,5,2013-11-02,491,1,0,0,0,4541.33
154648,792,4,2013-10-18,599,1,0,0,0,5219.84
376328,1035,3,2014-11-27,744,1,1,0,0,6293.31
530275,523,2,2015-07-29,1515,1,1,0,1,13028.29
441109,723,3,2013-04-04,461,1,0,0,1,4825.82
26050,1025,6,2013-05-26,0,0,0,0,0,0.0
247671,18,6,2015-01-04,0,0,0,0,0,0.0
615467,997,2,2014-09-03,378,1,1,0,1,5090.35
267972,400,5,2013-10-05,805,1,0,0,0,5744.61
22318,1047,1,2013-07-09,491,1,0,0,0,4202.02
430083,819,0,2013-09-02,472,1,0,0,0,4740.02
510014,668,0,2014-06-02,1562,1,1,0,0,12985.02
343803,585,3,2015-01-22,666,1,0,0,0,4181.84
85161,99,0,2014-03-10,404,1,0,0,0,3882.46
505852,965,5,2014-11-22,847,1,0,0,0,7929.41
266131,590,3,2013-02-21,376,1,1,0,0,5009.32
397091,709,1,2015-06-02,1682,1,1,0,0,13072.41
112013,58,6,2013-10-20,0,0,0,0,0,0.0
492019,409,6,2014-02-09,0,0,0,0,0,0.0
73240,850,5,2015-04-04,826,1,0,0,0,7387.8
203948,1058,2,2013-03-06,737,1,1,0,0,8121.67
603210,1067,6,2014-04-13,0,0,0,0,0,0.0
82813,777,0,2014-04-21,0,0,0,1,1,0.0
634511,155,2,2014-05-21,632,1,1,0,0,7381.09
28171,598,0,2015-06-29,871,1,1,0,0,7134.21
198571,493,1,2014-07-01,902,1,1,0,0,9985.405
70073,628,6,2014-08-03,0,0,0,0,1,0.0
551321,524,0,2013-12-30,1193,1,0,0,1,11888.71
509286,966,3,2013-04-04,585,1,0,0,1,4403.38
24413,1022,4,2013-12-27,791,1,0,0,1,6555.03
367168,380,2,2014-03-05,1720,1,1,0,0,18327.51
103724,132,2,2015-01-14,579,1,1,0,0,6405.14
704886,400,4,2015-06-26,999,1,0,0,0,6772.25
568270,988,3,2013-08-29,790,1,1,0,0,5772.25
627934,906,1,2013-03-19,1476,1,1,0,0,13598.88
520091,1028,1,2013-11-05,689,1,1,0,0,6770.38
505933,1100,5,2013-03-23,484,1,0,0,0,4261.05
67603,759,0,2013-01-14,607,1,0,0,0,5117.87
96570,223,0,2014-10-27,716,1,0,0,0,6241.31
696883,936,6,2015-03-15,0,0,0,0,0,0.0
216455,780,5,2015-07-11,341,1,0,0,0,2832.34
472114,259,4,2014-11-28,2677,1,1,0,0,12849.46
437836,131,5,2013-11-09,582,1,0,0,0,5467.8
467331,251,2,2015-01-28,2241,1,1,0,0,18514.63
423483,1079,5,2015-01-17,517,1,0,0,0,6203.1
533535,1003,2,2014-03-05,1029,1,1,0,0,9813.44
82465,980,3,2013-09-05,450,1,0,0,0,5104.51
245480,654,1,2015-01-27,766,1,1,0,0,7739.09
155723,966,3,2013-07-25,517,1,0,0,1,4088.92
167485,1020,0,2014-09-22,929,1,0,0,0,7382.04
574217,969,2,2014-03-19,610,1,1,0,0,3999.16
307718,1038,1,2015-04-07,490,1,0,0,1,5003.06
250666,516,2,2014-07-09,453,1,0,0,1,4284.62
233447,733,0,2013-01-14,3171,1,0,0,0,13972.64
9408,595,5,2014-05-31,1881,1,0,0,0,15492.39
532318,260,2,2014-07-16,962,1,1,0,1,9105.0
213221,768,5,2013-02-02,1251,1,0,0,0,10894.01
149118,940,0,2013-01-14,627,1,0,0,0,5453.16
643815,364,3,2013-06-27,563,1,0,0,0,4163.21
205464,506,2,2015-07-22,763,1,0,0,1,6042.2
172737,671,2,2013-05-29,507,1,1,0,1,5695.21
358803,300,5,2015-01-24,862,1,0,0,0,6525.95
432064,84,1,2014-06-17,1563,1,1,0,0,16185.7
243176,219,3,2015-05-07,455,1,1,0,0,3563.9
165487,934,4,2013-03-22,764,1,1,0,0,7236.97
206630,125,2,2015-04-01,1906,1,1,0,1,15681.89
380228,176,2,2013-12-04,757,1,1,0,0,9345.19
278339,223,1,2013-11-26,675,1,0,0,0,5901.82
125602,326,0,2014-07-14,429,1,1,0,0,5623.64
707930,339,1,2013-08-27,745,1,1,0,0,5863.9
647013,872,2,2015-04-08,659,1,0,0,1,6309.17
404917,579,6,2014-11-23,0,0,0,0,0,0.0
607690,974,4,2014-02-28,1599,1,0,0,0,11193.23
63394,979,6,2015-04-12,0,0,0,0,0,0.0
334403,880,2,2014-06-04,806,1,1,0,0,7730.92
440195,910,6,2013-03-31,0,0,0,0,0,0.0
87636,1084,5,2015-07-04,614,1,0,0,0,5057.56
189540,92,4,2015-06-12,453,1,0,0,0,4381.79
18218,14,5,2015-06-20,402,1,0,0,0,3419.39
396021,587,0,2013-12-30,960,1,0,0,1,9677.75
442052,230,3,2013-10-24,856,1,1,0,0,7514.49
397202,689,5,2014-03-15,589,1,0,0,0,5776.71
251121,599,0,2013-05-13,1096,1,1,0,0,12523.52
463013,596,6,2013-12-22,0,0,0,0,0,0.0
655331,576,0,2013-03-11,749,1,0,0,0,4630.37
327407,141,3,2014-06-26,493,1,0,0,0,3920.13
355157,751,0,2014-04-21,0,0,0,1,1,0.0
654124,877,4,2013-03-01,925,1,0,0,0,7391.69
602473,375,1,2013-04-23,948,1,1,0,0,11431.42
414480,230,0,2014-12-08,988,1,0,0,0,7944.1
574764,545,2,2014-01-22,1087,1,1,0,0,11994.72
136740,1022,0,2013-03-04,1093,1,1,0,0,11195.85
240843,597,2,2014-08-20,756,1,1,0,1,5565.95
130323,559,6,2014-06-08,0,0,0,0,0,0.0
688030,1024,5,2015-07-18,825,1,0,0,0,6513.78
43133,36,1,2015-03-17,1205,1,1,0,0,10956.42
172856,702,1,2013-05-28,351,1,1,0,1,4384.39
446048,623,6,2013-02-10,0,0,0,0,0,0.0
36534,105,3,2013-10-17,483,1,0,0,0,4298.38
612801,902,1,2013-11-19,648,1,1,0,0,5634.7
256750,11,5,2015-04-11,786,1,0,0,0,5908.62
623446,1039,4,2013-06-28,629,1,0,0,0,5739.62
63314,102,0,2015-02-16,1174,1,1,0,0,10846.46
238452,543,4,2013-10-18,175,1,0,0,1,1705.48
43919,827,3,2014-01-02,1910,1,0,0,1,14210.9
258378,110,2,2014-10-08,647,1,1,0,0,5722.37
59774,945,0,2015-01-05,698,1,1,0,1,6880.39
31637,582,2,2014-03-12,749,1,0,0,0,5278.34
673741,554,3,2014-01-16,428,1,0,0,0,3719.15
659942,486,1,2014-07-08,384,1,0,0,1,3748.07
349639,637,5,2014-02-15,520,1,0,0,0,6256.27
394865,806,4,2014-01-31,578,1,0,0,0,5948.25
255648,887,5,2014-06-21,462,1,0,0,0,5013.49
379128,374,5,2015-04-04,668,1,0,0,0,6985.33
540897,1025,4,2013-01-04,804,1,0,0,1,6852.52
662220,638,1,2013-08-06,431,1,0,0,1,4837.53
160268,123,5,2015-05-09,490,1,0,0,0,4552.27
654290,905,3,2015-02-19,1108,1,1,0,0,7527.47
599039,536,4,2013-04-05,989,1,0,0,1,8918.416
651027,763,6,2015-02-01,0,0,0,0,0,0.0
553569,191,5,2013-08-10,694,1,0,0,0,7310.45
271750,957,3,2014-02-20,948,1,1,0,0,8937.2
709864,268,3,2015-06-04,618,1,1,0,0,5346.75
300796,654,5,2013-09-07,266,1,0,0,0,2575.13
413674,612,5,2013-09-07,388,1,0,0,0,3596.99
8402,747,2,2014-08-27,567,1,0,0,1,5807.41
310059,656,5,2013-05-18,380,1,0,0,0,3305.42
319105,368,4,2013-04-05,592,1,0,0,1,6739.87
689752,959,2,2013-09-18,552,1,0,0,0,4309.89
516276,329,1,2015-02-03,708,1,1,0,0,8186.144166666666
338342,97,2,2015-07-22,535,1,0,0,1,4871.64
666229,314,1,2013-08-13,661,1,1,0,1,7003.34
8353,463,6,2015-01-11,0,0,0,0,0,0.0
386012,258,0,2013-05-20,0,0,0,1,0,0.0
471619,283,2,2013-11-13,621,1,0,0,0,5756.62
612347,556,0,2013-04-15,754,1,0,0,0,5641.75
514445,388,4,2014-01-24,1211,1,1,0,0,11312.23
396179,67,2,2014-09-03,837,1,1,0,1,8310.42
590638,725,4,2015-01-16,677,1,1,0,0,6536.12
683448,219,3,2013-06-06,416,1,1,0,0,3300.36
218062,1077,1,2015-02-10,479,1,0,0,0,3650.97
706606,322,3,2013-05-23,589,1,0,0,0,5518.31
453487,814,2,2013-02-20,581,1,1,0,1,6073.86
240904,134,6,2013-06-30,0,0,0,0,0,0.0
326681,54,3,2013-07-11,657,1,0,0,0,6839.75
272937,662,4,2013-04-26,854,1,1,0,0,9379.851666666667
11415,126,6,2015-04-19,0,0,0,0,0,0.0
436957,1001,5,2013-11-30,471,1,0,0,0,4608.37
171033,657,3,2014-02-13,598,1,0,0,0,4742.85
632521,590,3,2013-03-14,319,1,0,0,0,3668.92
179002,193,2,2013-12-25,0,0,0,1,1,0.0
345971,168,5,2013-09-21,465,1,0,0,0,4480.15
463457,16,0,2013-07-22,839,1,0,0,0,6970.036666666668
674866,244,0,2013-02-04,738,1,1,0,0,8160.91
479231,545,6,2015-02-08,0,0,0,0,0,0.0
369184,1032,5,2013-01-19,492,1,0,0,0,4645.22
564608,290,4,2013-05-31,987,1,1,0,0,9812.11
421305,548,3,2013-01-24,335,1,1,0,0,4079.12
312789,733,0,2014-08-04,3508,1,1,0,1,16576.38
548456,654,3,2013-06-06,716,1,1,0,0,6938.84
195259,272,5,2013-05-04,377,1,0,0,0,3815.94
669573,1017,2,2013-03-20,1176,1,1,0,0,8643.73
599293,708,1,2014-05-20,462,1,1,0,0,4842.67
33900,819,3,2015-01-08,454,1,1,0,0,5546.89
74619,99,2,2013-06-26,372,1,0,0,0,3752.06
284898,982,1,2013-12-10,710,1,0,0,0,6611.27
402135,683,4,2015-04-03,0,0,1,1,1,0.0
447277,194,2,2013-10-16,373,1,0,0,0,3987.32
588164,853,1,2015-06-30,1201,1,1,0,0,11377.72
456931,53,0,2014-04-28,650,1,1,0,1,7608.526666666668
221701,281,3,2013-02-07,508,1,1,0,0,5816.778333333333
535271,101,1,2014-09-02,879,1,1,0,0,8969.27
171677,440,4,2015-06-05,769,1,1,0,1,7931.39
226127,994,1,2014-03-18,435,1,1,0,0,4882.9
414979,168,1,2013-07-30,930,1,1,0,1,9432.13
500051,48,6,2013-10-27,0,0,0,0,0,0.0
329177,652,5,2014-02-15,501,1,0,0,0,4410.88
541113,934,5,2014-01-11,474,1,0,0,0,4480.6
124681,223,5,2014-03-29,589,1,0,0,0,5594.1
284177,378,4,2014-12-26,0,0,0,1,1,0.0
90749,865,2,2013-07-17,624,1,1,0,0,8274.53
237894,466,4,2014-01-31,861,1,0,0,0,6561.63
506152,789,4,2014-02-14,546,1,0,0,0,4600.05
622882,61,6,2015-06-07,0,0,0,0,0,0.0
34430,765,3,2013-12-19,1068,1,1,0,0,12124.02
268594,673,0,2015-02-23,500,1,0,0,0,5496.15
368485,258,2,2014-06-25,444,1,0,0,0,4599.41
602478,740,2,2014-10-08,499,1,1,0,0,6568.47
202788,1080,0,2013-09-16,764,1,0,0,0,8257.74
675955,918,4,2014-06-20,661,1,1,0,0,6168.41
611958,857,5,2013-06-22,1004,1,0,0,0,8234.15
597571,837,0,2013-07-01,482,1,1,0,0,3988.42
317074,516,6,2015-03-01,0,0,0,0,0,0.0
380943,446,1,2014-05-27,505,1,0,0,0,4041.78
649251,835,3,2013-05-30,0,0,1,1,0,0.0
386136,140,6,2013-02-03,0,0,0,0,0,0.0
411910,207,2,2013-08-14,1584,1,1,0,0,14915.81
119756,961,3,2015-01-29,668,1,1,0,0,6052.816666666667
251963,772,1,2014-03-18,507,1,1,0,0,4097.71
292719,1089,1,2014-09-02,1050,1,1,0,0,11121.53
77065,521,2,2014-03-05,421,1,1,0,0,5511.41
206967,823,4,2014-01-17,600,1,0,0,0,5755.42
521339,436,5,2013-09-14,426,1,0,0,0,3478.53
363365,483,6,2014-03-09,0,0,0,0,0,0.0
481077,215,1,2014-03-25,333,1,0,0,0,3962.82
711386,109,4,2015-05-29,802,1,0,0,0,7653.93
66970,858,0,2013-12-16,590,1,1,0,0,6858.56
435729,425,3,2015-03-05,501,1,1,0,0,3994.2
426284,357,4,2015-07-24,905,1,0,0,1,6729.76
435236,255,0,2015-02-02,575,1,1,0,0,7136.37
199039,798,5,2015-02-07,343,1,0,0,0,3062.34
99250,366,5,2013-03-23,304,1,0,0,0,2934.275
580140,534,1,2015-04-07,510,1,0,0,1,5048.27
254820,179,4,2014-06-20,1176,1,1,0,0,10286.01
155130,258,1,2013-09-03,464,1,0,0,1,4620.05
503682,693,4,2014-08-29,384,1,0,0,1,3988.64
288534,999,3,2013-10-24,685,1,1,0,1,8654.43
67050,834,5,2014-04-19,492,1,0,0,0,5181.54
174771,512,3,2013-10-31,1410,1,0,0,1,5555.58
442288,818,1,2013-04-23,662,1,1,0,0,6706.95
606734,534,5,2013-10-12,606,1,0,0,0,5946.32
431156,1084,1,2013-12-17,1099,1,1,0,0,11485.83
424121,34,1,2015-03-10,861,1,0,0,0,6132.71
557753,101,3,2014-03-27,686,1,0,0,0,5901.68
520831,187,0,2015-03-02,885,1,1,0,0,8671.968
376589,20,0,2013-09-23,1041,1,1,0,0,9886.31
7670,828,6,2014-10-26,0,0,0,0,0,0.0
303546,434,0,2013-08-12,823,1,1,0,1,10923.01
236740,738,0,2015-05-04,864,1,1,0,0,11435.35
145734,351,4,2014-03-07,569,1,1,0,0,6455.3425
134420,1020,3,2014-01-30,905,1,0,0,0,6510.23
691699,86,6,2013-08-11,0,0,0,0,0,0.0
233889,266,2,2015-06-17,573,1,1,0,0,4839.88
653554,608,4,2014-06-20,1024,1,1,0,0,10669.38
481046,708,4,2014-02-21,493,1,1,0,1,4881.61
423103,734,2,2014-02-05,605,1,1,0,0,6356.4
693486,776,6,2015-06-07,0,0,0,0,0,0.0
90193,1060,1,2013-04-09,853,1,1,0,0,7687.7
119482,182,1,2014-04-29,507,1,1,0,0,6996.45
525167,542,2,2013-01-16,431,1,0,0,0,4994.31
239754,602,0,2013-05-06,610,1,0,0,0,5628.23
332806,101,3,2013-11-07,777,1,1,0,0,7341.71
142056,784,6,2013-06-30,0,0,0,0,0,0.0
673000,679,6,2013-11-17,0,0,0,0,0,0.0
567353,535,3,2014-08-14,793,1,0,0,1,6533.15
696641,844,3,2014-02-06,516,1,1,0,0,4742.71
628766,595,6,2015-05-24,0,0,0,0,0,0.0
544695,25,5,2013-03-30,1831,1,0,0,0,13094.31
652921,416,2,2014-12-03,1819,1,1,0,0,15648.44
436682,539,3,2015-01-22,966,1,0,0,0,8891.62
158580,77,2,2013-08-28,642,1,1,0,0,7451.43
184394,641,1,2013-07-09,493,1,0,0,0,4440.58
523534,445,5,2015-01-10,1201,1,0,0,0,7864.33
133026,318,4,2013-05-03,822,1,1,0,0,8351.24
296285,394,2,2013-11-13,539,1,0,0,0,6011.27
14477,761,4,2014-02-07,1014,1,1,0,1,8959.96
130799,706,1,2015-07-28,578,1,1,0,0,6753.99
17306,41,4,2014-02-28,433,1,0,0,0,5764.85
617975,894,0,2014-07-07,958,1,0,0,1,7456.23
668657,169,5,2014-05-03,801,1,0,0,0,7663.570500000001
460228,1012,0,2014-06-09,0,0,0,1,0,0.0
26534,310,3,2013-08-29,868,1,1,0,0,9390.54
8504,1003,2,2014-01-22,847,1,1,0,0,7294.18
253700,970,2,2013-08-28,429,1,1,0,0,4108.51
586553,239,4,2013-09-27,627,1,1,0,0,6835.08
463307,998,0,2015-03-16,647,1,1,0,0,6585.78
245670,278,4,2013-06-14,692,1,0,0,0,6574.3
291128,49,1,2015-05-26,539,1,0,0,1,6788.0
615053,603,2,2013-08-28,0,0,1,0,1,0.0
263461,658,1,2013-04-30,824,1,1,0,0,7218.84
42414,1072,2,2013-02-06,786,1,1,0,0,8669.5
527688,1028,1,2013-10-22,587,1,1,0,1,6007.99
697845,288,3,2015-06-18,489,1,1,0,0,6249.02
28136,111,0,2015-03-30,838,1,1,0,1,8263.81
245444,581,1,2015-07-14,703,1,1,0,0,7438.88
394116,979,6,2013-05-12,0,0,0,0,0,0.0
601504,644,6,2015-02-22,0,0,0,0,0,0.0
349857,589,0,2013-06-03,577,1,1,0,0,7860.03
658989,295,1,2014-02-25,619,1,0,0,0,4383.7
73913,388,0,2013-02-18,1586,1,1,0,0,16200.11
579219,9,5,2014-10-04,621,1,0,0,0,6703.5
628094,445,3,2013-08-29,1381,1,1,0,1,9269.53
430442,204,3,2013-09-05,445,1,0,0,1,4691.46
694123,296,0,2014-10-06,1011,1,1,0,0,10140.92
637678,497,6,2015-05-24,0,0,0,0,0,0.0
697006,481,0,2013-02-18,523,1,1,0,0,6314.09
174454,1100,5,2014-12-06,569,1,0,0,0,6419.9
290329,588,5,2013-12-14,614,1,0,0,0,5929.72
79977,290,1,2014-01-07,918,1,1,0,1,8958.81
561228,1107,3,2015-05-28,635,1,0,0,1,5769.21
645402,1019,5,2014-01-25,820,1,0,0,0,7362.77
187053,945,4,2014-01-17,545,1,0,0,0,4652.73
545699,770,6,2014-10-26,0,0,0,0,0,0.0
101633,1041,3,2013-08-15,0,0,1,1,1,0.0
281213,433,2,2013-07-31,898,1,1,0,1,9200.84
303302,190,1,2013-11-19,738,1,1,0,0,8461.23
